GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Passeriniella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;soft_rot;partly_aquatic;;;filamentous_mycelium;;;;;;
Passerinula;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Pauahia;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Peltaster;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Peltasterella;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Pendulispora;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;;filamentous_mycelium;;;;;;
Perischizon;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Peroschaeta;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Petrakina;Fungal_traits_DB;;foliar_endophyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Petrakiopeltis;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;;filamentous_mycelium;;;;;;
Phaeocyrtidula;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Phaeopeltosphaeria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Phaeosclera;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Phaeosperma;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Phaeostigme;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;;filamentous_mycelium;;;;;;
Phaeotomasellia;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Phanerococculus;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Philobryon;Fungal_traits_DB;;moss_symbiont;;;moss-associated;moss-associated;;;;;;filamentous_mycelium;;;;;;
Philonectria;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;non-aquatic;;;filamentous_mycelium;;;;;;
Phragmaspidium;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;;filamentous_mycelium;;;;;;
Phragmoscutella;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Phragmosperma;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Phycorella;Fungal_traits_DB;;lichenized;;lichenized_loosely;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Physalosporopsis;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Pirozynskia;Fungal_traits_DB;;foliar_endophyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Placoasterina;Fungal_traits_DB;;foliar_endophyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Placodothis;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Placomelan;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Placosphaeria;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Plagiostromella;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Plejobolus;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Plenotrichaius;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Pleomerium;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Pleotrichiella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Pleuropassalora;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Polycyclinopsis;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;;filamentous_mycelium;;;;;;
Polyrhizon;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Polysporidiella;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Polystomellopsis;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Proliferosphaera;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Pseudoarthrographis;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;;filamentous_mycelium;;;;;;
