GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Pycnocarpon;Fungal_traits_DB;;epiphyte;litter_saprotroph;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle);closed;;;;
Neobueliella;Fungal_traits_DB;;lichen_parasite;;;;;;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Neocochlearomyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;Chromolaena;filamentous_mycelium;;;;;;
Anthodidymella;Fungal_traits_DB;;wood_saprotroph;;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Aquimassariosphaeria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neolindgomyces;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Crassiperidium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Aquihelicascus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Paratrimmatostroma;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Arezzomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dlhawksworthia;Fungal_traits_DB;;wood_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Hydeomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Piniphoma;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Pleohelicoon;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Fagus;filamentous_mycelium;;;;;;
Typhicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;Typha;filamentous_mycelium;;;;;;
Rubroshiraia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;bamboo;filamentous_mycelium;;;;;;
Anthosulcatispora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Liua;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Discotubeufia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;Brownea;filamentous_mycelium;;;;;;
Acantharia;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Clavidisculum;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Heterotruncatella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;;filamentous_mycelium;;;;;;
Neoleptosporella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Furfurella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Capillaureum;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Chrysomorbus;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Eriocamporesia;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;;;;filamentous_mycelium;;;;;;
Neomelanconiella;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;;;Combretum;filamentous_mycelium;;;;;;
Neomyrmecridium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Xenodactylaria;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Pseudodiplococcium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;;;;filamentous_mycelium;;;;;;
Adustochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Metulochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;hydnoid;;;;
Proterochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;other;;;;
Psilochaete;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;tremelloid;smooth;;;;
Pekloderma;Fungal_traits_DB;synonym of Kurtia;wood_saprotroph;ericoid_mycorrhizal;;;;wood;;non-aquatic;;;filamentous_mycelium;corticioid;smooth;;;;
Geesterania;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;polyporoid;poroid;;;;
Staurospora;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;trentepohlioid;
Galbinothrix;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Amylogalla;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;;apothecium_(hymenium_on_surface);smooth;;;;
Craspedodidymella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Crousobrauniella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Shorea;;;;;;;
Hyalodermella;Fungal_traits_DB;;;;;;;;;;;;;;;;;;
Saania;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Vizellopsidites;Fungal_traits_DB;fossil;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;;;;;;;
Asterostomella;Fungal_traits_DB;;plant_pathogen;foliar_endophyte;;foliar_endophyte;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Mycosphaerellopsis;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Planistroma;Fungal_traits_DB;;litter_saprotroph;wood_saprotroph;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Aeminium;Fungal_traits_DB;;sooty_mold;litter_saprotroph;;;;leaf/fruit/seed,sugar-rich_substrates;mold;non-aquatic;;;filamentous_mycelium;;;;;;
Globoramichloridium;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Paradevriesia;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Ceratosperma;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Plurivorosphaerella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Nowamyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Eucalyptus ;filamentous_mycelium;;;;;;
Lawreya;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Xenodevriesia;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;non-aquatic;;Strelitzia;filamentous_mycelium;;;;;;
Neocelosporium;Fungal_traits_DB;;;;;;;;;non-aquatic;;Eucalyptus ;filamentous_mycelium;;;;;;
Pseudoconlarium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;;;;;;;
Neoparodia;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Trema;filamentous_mycelium;;;;;;
Araneomyces;Fungal_traits_DB;;litter_saprotroph;;;no_endophytic_capacity;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Lichenopeltella;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;;;;filamentous_mycelium;;;;;;
Pachythyrium;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;;;fungal_material;;;;Diatrypaceae;filamentous_mycelium;;;;;;
Trichothyrium;Fungal_traits_DB;;unspecified_saprotroph;mycoparasite;;;;fungal_material;;;;;filamentous_mycelium;;;;;;
Eremithallus;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;trentepohlioid;
Neojahnula;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudojahnula;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neomycoleptodiscus;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Gyranthera;filamentous_mycelium;;;;;;
Pseudopalawania;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Setoapiospora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Posidoniomyces;Fungal_traits_DB;;root_endophyte;;;root_endophyte_dark_septate;;;;marine;;Posidonia;filamentous_mycelium;;;;;;
Alfoldia;Fungal_traits_DB;;root_endophyte;;;root_endophyte;;;;non-aquatic;;Juniperus;filamentous_mycelium;;;;;;
Amorocoelophoma;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Purplema;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Quercicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Quercus;filamentous_mycelium;;;;;;
Xenoastrosphaeriella;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;non-aquatic;;;filamentous_mycelium;;;;;;
Corylicola;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Leucaenicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Corynesporasca;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;Caryota;filamentous_mycelium;;;;;;
Synfenestella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Pseudoconiothyrium;Fungal_traits_DB;;;;;;;;;non-aquatic;;;filamentous_mycelium;;;;;;
Sphaeronaema;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Vandijckomycella;Fungal_traits_DB;;soil_saprotroph;;;;;soil;;non-aquatic;;;filamentous_mycelium;;;;;;
Chromolaenicola;Fungal_traits_DB;;wood_saprotroph;litter_saprotroph;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neptunomyces;Fungal_traits_DB;;;;;;;;;aquatic;;algae;filamentous_mycelium;;;;;;
Pseudodidymocyrtis;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Triseptata;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudomurilentithecium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Ochraceocephala;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Pseudoleptosphaeria;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;;wood_pathogen;wood;;non-aquatic;;Populus;filamentous_mycelium;;;;;;
Sclerenchymomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Ligninsphaeriopsis;Fungal_traits_DB;;;;;;;;;;;;filamentous_mycelium;;;;;;
Submerspora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Kiskunsagia;Fungal_traits_DB;;root_endophyte;;;root_endophyte;;roots;;non-aquatic;;;;;;;;;
Paramassaria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Neohelicascus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;freshwater;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neomedicopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Pseudohelminthosporium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Brunneofusispora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Lonicericola;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Paramonodictys;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Paralophiostoma;Fungal_traits_DB;;;;;;;;;;;;;;;;;;
Pleopunctum;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Amarenomyces;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;non-aquatic;;;filamentous_mycelium;;;;;;
Bhagirathimyces;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;partly_freshwater_(partly_non-aquatic);;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Brunneomurispora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Hydeopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Jeremyomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Kwanghwana;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Murichromolaenicola;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neoophiobolus;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neostagonosporella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Paraleptospora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Paraloratospora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Phaeoseptoriella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;;filamentous_mycelium;;;;;;
Pseudoophiosphaerella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudostaurosphaeria;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Wingfieldomyces;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Vittaliana;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;marine;;Avicennia;filamentous_mycelium;;;;;;
Pseudoastrosphaeriellopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Pseudomassarina;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xenopyrenochaetopsis;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudoroussoella;Fungal_traits_DB;;wood_saprotroph;;;;;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Setoarthopyrenia;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xenoroussoella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Longicorpus;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;Arecaceae;filamentous_mycelium;;;;;;
Striatiguttula;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;Arecaceae;filamentous_mycelium;;;;;;
Parasulcatispora;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Halotestudina;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;partly_aquatic;;;filamentous_mycelium;;;;;;
Chromolaenomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudothyridariella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dichoporis;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Phyllocharis;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Phyllocraterina;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Phylloporis;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Puiggariella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Raciborskiella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Racoplaca;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Serusiauxiella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Swinscowia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;;;;;;
Tenuitholiascus;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;perithecium_(hymenium_hidden,_narrow_opening);closed;;;trentepohlioid;Phycopeltis
Pseudobogoriella;Fungal_traits_DB;;lichenized;wood_saprotroph;lichenized_loosely;;;wood;;non-aquatic;;;thallus_photosynthetic;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Schummia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Camporesiomyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
Kevinhydea;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Bellamyces;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Fuscohilum;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Helicopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Neofusicladium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Parafusicladium;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Pinaceicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Sterila;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Dimerosporiopsis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;;;;;;
Fagicola;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Fraxinicola;Fungal_traits_DB;;litter_saprotroph;foliar_endophyte;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Laeviomyces;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;;;;;;;;;;
Ajellomyces;Fungal_traits_DB;;animal_parasite;;;;;;;;animal_parasite/opportunistic_human_parasite;;dimorphic_yeast;;;;;;
Emydomyces;Fungal_traits_DB;;animal_parasite;animal_decomposer;;;;animal_material;keratinolytic;partly_aquatic;vertebrate_parasite;;;;;;;;
Pseudosclerococcum;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Bordea;Fungal_traits_DB;;animal_parasite;animal_decomposer;;no_endophytic_capacity;;animal_material;;non-aquatic;arthropod_parasite;;filamentous_mycelium;none;none;;;;
Thaxterimyces;Fungal_traits_DB;;animal_parasite;animal_decomposer;;no_endophytic_capacity;;animal_material;;non-aquatic;arthropod_parasite;;filamentous_mycelium;none;none;;;;
Burrowsia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Allographa;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;trentepohlioid;
Cryptoschizotrema;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;trentepohlioid;
Pulchrocladia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Myochroidea;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Neoprotoparmelia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Namibialina;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Jocatoa;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;trentepohlioid;
Neofitzroyomyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;;;Nerium;filamentous_mycelium;;;;;;
Neostictis;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Atrophysma;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;cyanobacterial;
Dijigiella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Hosseusiella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Nevilleiella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Rehmaniella;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Teuvoahtiana;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Upretia;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;apothecium_(hymenium_on_surface);smooth;;;chlorococcoid;
Carneothele;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;perithecium_(hymenium_hidden,_narrow_opening);closed;;;chlorococcoid;
Turquoiseomyces;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;Eucalyptus;filamentous_mycelium;;;;;;
Oidiopsis;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Typhulochaeta;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;;;;;;
Arachnoscypha;Fungal_traits_DB;;unspecified_saprotroph;;;;;;;;;;filamentous_mycelium;;;;;;
Chrysodisca;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Annabella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;;;;filamentous_mycelium;;;;;;
