Reference,DOI,Ref_Type,Accession,Fungi,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Study_Type,Organ,Sampling_Location,Lat,Lon,Country,Collection_Date,Host_Genus,Host_Species,Host_Kingdom,Host_Phylum,Host_Class,Host_Order,Host_Family,MAT,MAP,Elevation,spr_rgn
"Endophytic fungi from pharmaceutical plant, Annona squamosa L.: Isolation, bioactivity, identification and diversity of polyketide synthase gene",Unpublished,GenBank,EF488438,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,China,NA,Annona,squamosa,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Annonaceae,NA,NA,NA,NA
"Wu, H., Yang, H., You, X., & Li, Y. (2012). Isolation and characterization of saponin-producing fungal endophytes from Aralia elata in Northeast China. International Journal of Molecular Sciences, 13(12), 16255-16266.",http://doi.org/10.3390/ijms131216255,Literature,JQ807942,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Culture based study,Root,Xiaoxinganling,NA,NA,China,NA,Aralia,elata,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Araliaceae,NA,NA,NA,NA
NA30,10.13982/j.mfst.1673-9078.2018.2.014,Literature,NA,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,Culture based study,Leaf,Xishuangbanna Dai Autonomous Prefecture,22.00842631,100.7734003,China,NA,Arundina,graminifolia,Plantae,Magnoliophyta,Magnoliopsida,Asparagales,Orchidaceae,2.30699996948242,1644,546,Mexico NW deserts and montane forests
"Donald, J., Barthélemy, M., Gazal, N., Eveno, Y., Manzi, S., Eparvier, V., Stien, D., & Roy, M. (2019). Tropical palm endophytes exhibit low competitive structuring when assessed using co-occurrence and antipathogen activity analysis. Frontiers in Forests and Global Change, 2, 86.",https://doi/org/10.3389/ffgc.2019.00086,Literature,MK650352,Stereum,"Stereum Hill ex Pers., 1794",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA,Culture based study,Leaf,Saint Elie track ,NA,NA,French Guiana,NA,Astrocaryum,sciophilum,Plantae,Magnoliophyta,Magnoliopsida,Arecales,Arecaceae,NA,NA,NA,NA
"Donald, J., Barthélemy, M., Gazal, N., Eveno, Y., Manzi, S., Eparvier, V., Stien, D., & Roy, M. (2019). Tropical palm endophytes exhibit low competitive structuring when assessed using co-occurrence and antipathogen activity analysis. Frontiers in Forests and Global Change, 2, 86.",https://doi/org/10.3389/ffgc.2019.00086,Literature,MK650353,Stereum,"Stereum Hill ex Pers., 1794",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA,Culture based study,Leaf,Saint Elie track ,NA,NA,French Guiana,NA,Astrocaryum,sciophilum,Plantae,Magnoliophyta,Magnoliopsida,Arecales,Arecaceae,NA,NA,NA,NA
"Donald, J., Barthélemy, M., Gazal, N., Eveno, Y., Manzi, S., Eparvier, V., Stien, D., & Roy, M. (2019). Tropical palm endophytes exhibit low competitive structuring when assessed using co-occurrence and antipathogen activity analysis. Frontiers in Forests and Global Change, 2, 86.",https://doi/org/10.3389/ffgc.2019.00086,Literature,MK650354,Stereum,"Stereum Hill ex Pers., 1794",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA,Culture based study,Leaf,Saint Elie track ,NA,NA,French Guiana,NA,Astrocaryum,sciophilum,Plantae,Magnoliophyta,Magnoliopsida,Arecales,Arecaceae,NA,NA,NA,NA
"Donald, J., Barthélemy, M., Gazal, N., Eveno, Y., Manzi, S., Eparvier, V., Stien, D., & Roy, M. (2019). Tropical palm endophytes exhibit low competitive structuring when assessed using co-occurrence and antipathogen activity analysis. Frontiers in Forests and Global Change, 2, 86.",https://doi/org/10.3389/ffgc.2019.00086,Literature,MK650356,Stereum,"Stereum Hill ex Pers., 1794",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA,Culture based study,Leaf,Saint Elie track ,NA,NA,French Guiana,NA,Astrocaryum,sciophilum,Plantae,Magnoliophyta,Magnoliopsida,Arecales,Arecaceae,NA,NA,NA,NA
"Donald, J., Barthélemy, M., Gazal, N., Eveno, Y., Manzi, S., Eparvier, V., Stien, D., & Roy, M. (2019). Tropical palm endophytes exhibit low competitive structuring when assessed using co-occurrence and antipathogen activity analysis. Frontiers in Forests and Global Change, 2, 86.",https://doi/org/10.3389/ffgc.2019.00086,Literature,MK650357,Stereum,"Stereum Hill ex Pers., 1794",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,NA,Culture based study,Leaf,Saint Elie track ,NA,NA,French Guiana,NA,Astrocaryum,sciophilum,Plantae,Magnoliophyta,Magnoliopsida,Arecales,Arecaceae,NA,NA,NA,NA
Intense fire regimes shape the fungal endophyte assemblages of the tall-grass Brachypodium rupestre during its expansion in mountain grasslands,Unpublished,GenBank,MW528574,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,NA,Navarra,NA,NA,Spain,NA,Brachypodium,rupestre,Plantae,Magnoliophyta,Magnoliopsida,Poales,Poaceae,NA,NA,NA,NA
"Poveda, J., Zabalgogeazcoa, I., Soengas, P., Rodríguez, V. M., Cartea, M. E., Abilleira, R., & Velasco, P. (2020). Brassica oleracea var. acephala (kale) improvement by biological activity of root endophytic fungi. Scientific Reports, 10(1), 20224.",https://doi.org/10.1038/s41598-020-77215-7 ,GenBank,MT635595,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,NA,NA,Spain,NA,Brassica,oleracea,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,NA,NA,NA,NA
NA15,10.13346/j.mycosystema.200139,Literature,NA,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,Culture based study,NA,"Qianxin Yinkuang Community, Nanjing, Jiangsu",32.15494412,118.9570546,China,NA/05/2018,Broussonetia,papyrifera,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Moraceae,1.56838331222534,1029,31,Mexico NW deserts and montane forests
Culture-based and culture-independent assessments of endophytic fungal diversity in aquatic plants in Southwest China,Unpublished,GenBank,MZ380101,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Culture-based and culture-independent assessments of endophytic fungal diversity in aquatic plants in Southwest China,Unpublished,GenBank,MZ380110,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Culture-based and culture-independent assessments of endophytic fungal diversity in aquatic plants in Southwest China,Unpublished,GenBank,MZ380146,Sistotrema,Sistotrema Fr.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Culture-based and culture-independent assessments of endophytic fungal diversity in aquatic plants in Southwest China,Unpublished,GenBank,MZ380157,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Diversity of cultivable endophytic fungi in Rubia plants and their potential for production of anti-tumor Rubiaceae-type cyclopeptides,Unpublished,GenBank,MN872487,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Diversity of Endophytic and Pathogenic Fungi of Saffron (Crocus sativus) Plants from Cultivation Sites in Italy,Unpublished,GenBank,MW798745,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Diversity of endophytic fungi in blueberry,Unpublished,GenBank,MK370677,Sistotrema,Sistotrema Fr.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophyte and surrounding fungi of Ageratina adenophora,Unpublished,GenBank,MK304204,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi,Unpublished,GenBank,JX220293,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,Root,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi,Unpublished,GenBank,JX238594,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,Root,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi,Unpublished,GenBank,JX238661,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,Root,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi assemblages from 6 families of Dendrobium officinale,Unpublished,GenBank,KX611640,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi assemblages from 6 families of Dendrobium officinale,Unpublished,GenBank,KX611643,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi assemblages from 6 families of Dendrobium officinale,Unpublished,GenBank,KX611636,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophytic fungi of conifers,Unpublished,GenBank,MN944414,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Geographic and Tissue Influences on Endophytic Fungal Communities of Taxus chinensis var. mairei in China,Unpublished,GenBank,JN198493,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Integration of Arbuscular Mycorrhizal and Endophyte Fungi in a Biological Control of Himalayan balsam,Unpublished,GenBank,MH428683,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,United Kingdom,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Isolation and Identification of Endophytic Fungi in Adlay (Coix lachryma-jobi L. var. ma-yuen Stapf),Unpublished,GenBank,KJ572205,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Kim, H., You, Y. H., Yoon, H., Seo, Y., Kim, Y. E., Choo, Y. S., ... & Kim, J. G. (2014). Culturable fungal endophytes isolated from the roots of coastal plants inhabiting Korean east coast. Mycobiology, 42(2), 100-108.",https://doi.org/10.5941/MYCO.2014.42.2.100,Literature,JX238948,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Culture based study,Root,NA,NA,NA,South Korea,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Molecular identification and antimicrobial activity of Endophytic Fungi from Cyclocarya paliurus,Unpublished,GenBank,MZ648306,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Molecular identification, bioactive and phytochemical screening of culturable endophytic fungi isolated from Rubia plants: A novel source of anti-tumor Rubiaceae-type cyclopeptides",Unpublished,GenBank,MN856205,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Molecular identification, bioactive and phytochemical screening of culturable endophytic fungi isolated from Rubia plants: A novel source of anti-tumor Rubiaceae-type cyclopeptides",Unpublished,GenBank,MN856233,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Molecular identification, bioactive and phytochemical screening of culturable endophytic fungi isolated from Rubia plants: A novel source of anti-tumor Rubiaceae-type cyclopeptides",Unpublished,GenBank,MN856442,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Molecular identification, bioactive and phytochemical screening of culturable endophytic fungi isolated from Rubia plants: A novel source of anti-tumor Rubiaceae-type cyclopeptides",Unpublished,GenBank,MN856273,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Molecular identification, bioactive and phytochemical screening of culturable endophytic fungi isolated from Rubia plants: A novel source of anti-tumor Rubiaceae-type cyclopeptides",Unpublished,GenBank,MN856362,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Species diversity of culturable endophytic fungi from Brazilian mangrove forests,Unpublished,GenBank,HQ023104,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,Brazil,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898796,Exidia,Exidia Fr.,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Exidiaceae,Exidia,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN900215,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898183,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898468,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898499,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898543,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898630,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898731,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898808,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898882,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN898946,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899074,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899127,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899188,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899238,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899330,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899436,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
