Reference,DOI,Ref_Type,Accession,Fungi,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Study_Type,Organ,Sampling_Location,Lat,Lon,Country,Collection_Date,Host_Genus,Host_Species,Host_Kingdom,Host_Phylum,Host_Class,Host_Order,Host_Family,MAT,MAP,Elevation,spr_rgn
"Community structure, temporal-spatial distribution, diversity and functional characterization of culturable endophytic fungi associated with Phoebe bournei (Hemsl.) Yang",Unpublished,GenBank,MN121590,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Dar, R. A., Qazi, P. H., Saba, I., Rather, S. A., Wani, Z. A., Qazi, A. K., ... & Modae, D. M. (2016). Cytotoxic Potential and Molecular Characterization of Fungal Endophytes from Selected High Value Medicinal Plants of the Kashmir ValleyIndia. Drug Research, 66(03), 121-125.",https://doi.org/10.1055/s-0035-1550042,Literature,KC831588,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,NA,NA,NA,NA,India,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Endophyte and surrounding fungi of Ageratina adenophora,Unpublished,GenBank,MK304360,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Gao, Y.-H., Bai, W.-X., Sun, W.-H., Zhou, W.-N., Wu, G.-L., Zhu, Z.-Q., Ma, J.-Y., & Li, H.-Y. Diversity of culturable endophytic fungi associated with bryophytes, pteridophytes and spermatophytes from Dawei mountain nature reserve, china,Chiang Mai Journal of. Science, .46(4) : 626-638",NA,Literature,KM357328,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,NA,Dawei Mountain,NA,NA,China,NA/11/2012,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Geisen, S., Kostenko, O., Cnossen, M. C., Ten Hooven, F. C., Vre, B., & van Der Putten, W. H. (2017). Seed and root endophytic fungi in a range expanding and a related plant species. Frontiers in microbiology, 1645.",https://doi.org/10.3389/fmicb.2017.01645,GenBank,MF687686,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Geographic and Tissue Influences on Endophytic Fungal Communities of Taxus chinensis var. mairei in China,Unpublished,GenBank,JN198490,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Identification of ITS in fungus strains,Unpublished,GenBank,KR673903,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,"Khartoum, Rashad, Nuba mountains",NA,NA,Sudan,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Molecular Identification of Endophytic Fungi from Selected Nigeria Plants,Unpublished,GenBank,MT358623,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899362,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Sun, X., Kosman, E., Sharon, O., Ezrati, S., & Sharon, A. (2020). Significant host‐and environment‐dependent differentiation among highly sporadic fungal endophyte communities in cereal crops‐related wild grasses. Environmental Microbiology, 22(8), 3357-3374.",https://doi.org/10.1111/1462-2920.15107,Literature,MN899707,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Microbiome study,Branch (Twig),NA,NA,NA,Israel,NA/NA/2018,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
"Whitaker, B. K., Christian, N., Chai, Q., & Clay, K. (2020). Foliar fungal endophyte community structure is independent of phylogenetic relatedness in an Asteraceae common garden. Ecology and Evolution, 10(24), 13895-13912.",https://doi.org/10.1002/ece3.6983,Literature,MW157586,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Microbiome study,Leaf,Indiana,NA,NA,United States,NA/09/2014,Buddleja,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,NA,NA,NA,NA
Diversity of endophytic fungal communities from Camellia oleifera in Southern China,Unpublished,GenBank,KM979753,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,NA,NA,NA,NA,NA,Camellia,oleifera,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Theaceae,NA,NA,NA,NA
"Sánchez Márquez, M., Bills, G. F., & Zabalgogeazcoa, I. (2007). The endophytic mycobiota of the grass Dactylis glomerata.",NA,Literature,AM262442,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,Culture based study,Leaf,Central-western Spain,NA,NA,Spain,NA,Dactylis,glomerata,Plantae,Magnoliophyta,Magnoliopsida,Poales,Poaceae,NA,NA,NA,NA
Endophytic Fungi of Dendrobium officinale,Unpublished,GenBank,KP050613,Trametes versicolor,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,"Zhejiang, Yueqing",NA,NA,China,NA,Dendrobium,officinale,Plantae,Magnoliophyta,Magnoliopsida,Asparagales,Orchidaceae,NA,NA,NA,NA
"Hosoya,T., Hosaka,K. and Nam,K.O.; A checklist of non-lichenized fungi occurring on Fagus crenata, endemic tree to Japan;  Mycology, 9(1), 29-34.",https://doi.org/10.1080/21501203.2017.1363092,FungalTraits,LC206494,Trametes versicolor,NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,"Nagano, Ueda-shi, Obora",38.7304,140.774,Japan,NA,Fagus,crenata,Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,1.02013330459594,1323,218,Mexico NW deserts and montane forests
"Hosoya,T., Hosaka,K. and Nam,K.O.; A checklist of non-lichenized fungi occurring on Fagus crenata, endemic tree to Japan;  Mycology, 9(1), 29-34.",https://doi.org/10.1080/21501203.2017.1363092,FungalTraits,LC206563,Trametes versicolor,NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,NA,NA,"Nagano, Ueda-shi, Obora",38.7304,140.7809,Japan,NA,Fagus,crenata,Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,1.02013330459594,1323,218,Mexico NW deserts and montane forests
