"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV62",1,1,0,1
"ASV18",2,1,0,2
"ASV94",2,1,0,2
"ASV27",1,1,0,1
"ASV47",4,1,4,4
"ASV105",2,0.666666666666667,0,2
"ASV35",3,1,0,3
"ASV53",3,1,0,3
"ASV99",3,1,0,3
"ASV107",2,0.666666666666667,0,2
"ASV63",1,1,0,1
"ASV46",1,1,0,1
"ASV7",2,1,0,2
"ASV25",1,1,0,1
"ASV54",2,0.666666666666667,0,2
"ASV58",3,1,0,3
"ASV67",2,0.666666666666667,0,2
"ASV72",1,1,0,1
