"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV94",1,1,0,1
"ASV53",4,0.833333333333333,0,4
"ASV58",5,1,1.5,5
"ASV99",4,0.833333333333333,0,4
"ASV75",4,0.833333333333333,0,4
"ASV26",2,0.625,0,2
"ASV91",1,1,0,1
"ASV50",1,1,0,1
"ASV62",2,1,0,2
"ASV105",2,1,0,2
"ASV63",1,1,0,1
"ASV48",2,1,0,2
"ASV93",2,1,0,2
"ASV18",1,1,0,1
"ASV35",5,1,1.5,5
"ASV85",1,1,0,1
"ASV101",1,1,0,1
"ASV46",2,1,0,2
"ASV72",1,1,0,1
"ASV29",2,1,0,2
